transaction_id,customer_id,timestamp,origin_country,destination_country,amount,currency,merchant
TXN000001,CUST2132,2025-06-23 15:44:56,SG,NL,17415.01,USD,"Hernandez, Spears and Barnes"
TXN000002,CUST7351,2025-07-10 07:47:38,PE,UY,18087.38,USD,Harris Group
TXN000003,CUST5966,2025-03-26 22:23:20,KH,US,10468.63,USD,Yoder-Lewis
TXN000004,CUST1574,2025-05-29 05:08:34,BR,GR,533.68,USD,"Anderson, Schmitt and Bates"
TXN000005,CUST6664,2025-05-10 15:32:16,LA,AO,3941.5,USD,"Elliott, Dawson and Evans"
TXN000006,CUST4359,2025-06-03 04:37:03,ER,MU,17444.53,USD,Smith-Rose
TXN000007,CUST6842,2025-02-26 21:32:42,BO,KI,3837.73,USD,Cole-Bailey
TXN000008,CUST5288,2025-02-02 06:33:12,BI,VU,2464.56,USD,Copeland-Rodgers
TXN000009,CUST6798,2025-06-21 01:32:53,CF,SZ,3014.32,USD,"Ramos, Young and Ramirez"
TXN000010,CUST5018,2025-03-10 13:20:58,CR,BS,9118.31,USD,"Navarro, Little and Perez"
TXN000011,CUST6207,2025-04-26 18:56:03,GE,ES,4476.29,USD,Jordan-Parker
TXN000012,CUST4411,2025-06-03 05:27:56,DE,PH,15169.27,USD,Murray-Walker
TXN000013,CUST6596,2025-02-11 17:54:01,NL,BB,6017.49,USD,"Higgins, Lyons and Chavez"
TXN000014,CUST4701,2025-09-02 09:10:25,DJ,CU,5133.9,USD,Murphy-Barnes
TXN000015,CUST9377,2025-05-20 15:37:19,SR,GB,17200.45,USD,Rodriguez-Smith
TXN000016,CUST1929,2025-03-09 19:48:21,CG,BG,3182.36,USD,"Burton, Paul and Martinez"
TXN000017,CUST6420,2025-06-13 20:49:07,BE,BN,14938.86,USD,Torres-Perkins
TXN000018,CUST9000,2025-08-22 09:46:51,CH,MZ,12765.33,USD,"Guerrero, Munoz and Warren"
TXN000019,CUST1781,2025-05-07 00:52:53,FI,FJ,12867.67,USD,"Cook, Wilson and Walker"
TXN000020,CUST4196,2025-08-19 14:28:42,SM,DJ,8060.94,USD,White-Powell
TXN000021,CUST1658,2025-05-17 12:14:26,KI,AG,16915.29,USD,Townsend and Sons
TXN000022,CUST9362,2025-03-20 21:52:56,DZ,LC,9320.54,USD,"Dillon, Massey and Mendoza"
TXN000023,CUST7162,2025-01-04 13:46:06,RS,ZM,16067.67,USD,"Barber, Murphy and Arroyo"
TXN000024,CUST1188,2025-09-08 18:35:26,KW,HN,17204.99,USD,Hardy Ltd
TXN000025,CUST4051,2025-06-09 16:31:51,QA,MK,8145.41,USD,"Bradshaw, Hickman and Pratt"
TXN000026,CUST5125,2025-02-13 07:40:09,KM,PY,3301.71,USD,"Gibson, Knapp and Harrison"
TXN000027,CUST1485,2025-02-17 07:43:03,OM,BY,1998.81,USD,Hester LLC
TXN000028,CUST5147,2025-09-09 14:02:18,SV,TL,4126.36,USD,Lawson-Bridges
TXN000029,CUST4054,2025-08-18 08:00:26,BS,MZ,2643.36,USD,Harris PLC
TXN000030,CUST5982,2025-05-19 23:26:42,BB,BS,9278.75,USD,"Dalton, Finley and Martin"
TXN000031,CUST1261,2025-06-06 19:00:51,AO,IS,3268.76,USD,Edwards-Mccormick
TXN000032,CUST4858,2025-07-16 05:37:21,LS,GE,6431.2,USD,Barr Inc
TXN000033,CUST1569,2025-03-22 08:22:32,CN,CD,4659.83,USD,Villanueva-Long
TXN000034,CUST6811,2025-03-07 00:55:17,UG,BG,4024.33,USD,Richard Group
TXN000035,CUST4615,2025-03-24 10:58:12,FM,TN,13395.75,USD,"Torres, Calderon and Love"
TXN000036,CUST8648,2025-03-09 16:43:02,GA,DK,6857.65,USD,"Wood, Collier and Kim"
TXN000037,CUST1448,2025-06-07 16:55:24,VC,CG,18119.88,USD,Harrison Inc
TXN000038,CUST2814,2025-05-09 09:46:24,SI,NA,4551.61,USD,Ruiz-Davis
TXN000039,CUST6664,2025-01-11 21:45:23,SC,LS,14445.32,USD,Rodriguez Inc
TXN000040,CUST9285,2025-09-03 02:52:03,MM,GM,15814.61,USD,"Jackson, Johnson and Green"
TXN000041,CUST3152,2025-02-11 20:23:27,BW,BD,6095.57,USD,Johnson Group
TXN000042,CUST5274,2025-08-08 23:54:03,GN,PW,8719.25,USD,Smith-Moore
TXN000043,CUST7026,2025-01-29 15:30:46,SR,ZM,15338.62,USD,Ryan-Gonzalez
TXN000044,CUST5315,2025-04-06 18:28:35,GD,UA,1770.71,USD,Dodson Ltd
TXN000045,CUST4832,2025-07-17 12:15:32,LT,SO,4552.75,USD,Mullins Inc
